departamento;Saldo Atual;Preço de Custo Médio;Preço de Venda;Preco Custo;;;
AR CONDICIONADO SPLIT;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
AR CONDICIONADO SPLIT;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
AR CONDICIONADO SPLIT;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
AR CONDICIONADO SPLIT;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
AR CONDICIONADO SPLIT;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
AR CONDICIONADO SPLIT;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
AR CONDICIONADO SPLIT;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
AR CONDICIONADO SPLIT;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
AR CONDICIONADO SPLIT;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
AR CONDICIONADO SPLIT;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
AR CONDICIONADO SPLIT;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
AR CONDICIONADO SPLIT;3;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
AR CONDICIONADO SPLIT;3;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
AR CONDICIONADO SPLIT;3;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
AR CONDICIONADO SPLIT;6;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
AR CONDICIONADO SPLIT;3;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
AR CONDICIONADO SPLIT;3;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
AR CONDICIONADO SPLIT;3;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
AR CONDICIONADO SPLIT;6;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
AR CONDICIONADO SPLIT;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
AR CONDICIONADO SPLIT;4;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
AR CONDICIONADO SPLIT;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
AR CONDICIONADO SPLIT;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
AR CONDICIONADO SPLIT;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
AR CONDICIONADO SPLIT;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
AR CONDICIONADO SPLIT;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
AR CONDICIONADO SPLIT;4;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
AR CONDICIONADO SPLIT;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
AR CONDICIONADO SPLIT;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
AR CONDICIONADO SPLIT;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
AR CONDICIONADO SPLIT;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
AR CONDICIONADO SPLIT;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
AR CONDICIONADO SPLIT;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
AR CONDICIONADO SPLIT;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
AR CONDICIONADO SPLIT;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
AR CONDICIONADO SPLIT;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
AR CONDICIONADO SPLIT;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
AR CONDICIONADO SPLIT;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
AR CONDICIONADO SPLIT;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
AR CONDICIONADO SPLIT;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
AR CONDICIONADO SPLIT;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
AR CONDICIONADO SPLIT;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
AR CONDICIONADO SPLIT;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA ACO;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA ACO;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA ACO;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA ACO;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA ACO;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA ACO;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA ACO;4;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA ACO;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA ACO;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA ACO;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA ACO;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA ACO;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA ACO;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA ACO;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA ACO;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA ACO;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA ACO;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA ACO;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA ACO;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA ACO;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;4;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ARMARIO COZINHA MADEIRA;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
